downloaded,local_filename,journal,journal_code,publisher,title,authors,first_author,year,publication_date,doi,doi_url,openalex_id,volume,issue,first_page,last_page,landing_page_url,is_oa,oa_status,matched_terms,matched_fields,search_queries,discovery_strategies,metadata_sources,download_note,discipline,screening_decision,screening_note
no,,American Economic Journal: Economic Policy,aejpolicy,American Economic Association,"Do Tax Incentives Increase Firm Innovation? An RD Design for R&amp;D, Patents, and Spillovers",Antoine Dechezleprêtre; Elias Einiö; Ralf Martin; Kieu-Trang Nguyen; John Van Reenen,dechezlepretre,2023,2023-10-31,10.1257/pol.20200739,https://doi.org/10.1257/pol.20200739,https://openalex.org/W4388078462,15,4,486,521,https://doi.org/10.1257/pol.20200739,False,closed,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,bibliographic; search,crossref; openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Economic Policy,aejpolicy,American Economic Association,Increasing the Retirement Age: Policy Effects and Underlying Mechanisms,Simon Rabaté; Egbert Jongen; Tilbe Atav,rabate,2024,2024-01-31,10.1257/pol.20210101,https://doi.org/10.1257/pol.20210101,https://openalex.org/W4391386992,16,1,259,291,https://doi.org/10.1257/pol.20210101,False,closed,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Economic Policy,aejpolicy,American Economic Association,Public Pensions and Private Savings,Esteban García‐Miralles; Jonathan M. Leganza,garciamiralles,2024,2024-05-01,10.1257/pol.20220019,https://doi.org/10.1257/pol.20220019,https://openalex.org/W3162839958,16,2,366,405,https://doi.org/10.1257/pol.20220019,False,closed,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Economic Policy,aejpolicy,American Economic Association,Intergenerational and Sibling Spillovers in High School Majors,Gordon B. Dahl; Dan‐Olof Rooth; Anders Stenberg,dahl,2024,2024-07-31,10.1257/pol.20220197,https://doi.org/10.1257/pol.20220197,https://openalex.org/W4401178987,16,3,133,173,https://doi.org/10.1257/pol.20220197,False,closed,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Economic Policy,aejpolicy,American Economic Association,"Rural Roads, Farm Labor Exits, and Crop Fires",Teevrat Garg; Maulik Jagnani; Hemant Pullabhotla,garg,2024,2024-07-31,10.1257/pol.20220422,https://doi.org/10.1257/pol.20220422,https://openalex.org/W4401177600,16,3,420,450,https://doi.org/10.1257/pol.20220422,False,closed,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Economic Policy,aejpolicy,American Economic Association,The Long-Run Effects of California’s Paid Family Leave Act on Women’s Careers and Childbearing: New Evidence from a Regression Discontinuity Design and US Tax Data,Martha Bailey; Tanya Byker; Elena Patel; Shanthi Ramnath,bailey,2025,2025-01-31,10.1257/pol.20200277,https://doi.org/10.1257/pol.20200277,https://openalex.org/W4407035699,17,1,401,431,https://doi.org/10.1257/pol.20200277,False,closed,regression discontinuity; regression discontinuity design; regression-discontinuity; regression-discontinuity design,abstract; title,regression discontinuity; regression discontinuity design,bibliographic; search; title_search,crossref; openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Economic Policy,aejpolicy,American Economic Association,Do Tuition Subsidies Raise Political Participation?,Daniel Firoozi; Igor Geyn,firoozi,2025,2025-10-29,10.1257/pol.20240422,https://doi.org/10.1257/pol.20240422,https://openalex.org/W4415659127,17,4,354,378,https://doi.org/10.1257/pol.20240422,False,closed,regression discontinuity,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Economic Policy,aejpolicy,American Economic Association,Plata y Plomo: How Higher Wages Expose Politicians to Criminal Violence,Massimo Pulejo; Pablo Querubín,pulejo,2026,2026-01-29,10.1257/pol.20240383,https://doi.org/10.1257/pol.20240383,https://openalex.org/W7126013605,18,1,190,218,https://doi.org/10.1257/pol.20240383,False,closed,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Economic Policy,aejpolicy,American Economic Association,Polling Place Location and the Costs of Voting,Gaurav R Bagwe; Juan Margitic; Allison Stashko,bagwe,2026,2026-01-29,10.1257/pol.20220435,https://doi.org/10.1257/pol.20220435,https://openalex.org/W7126049005,18,1,219,255,https://doi.org/10.1257/pol.20220435,False,closed,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Journal: Microeconomics,aejmicro,American Economic Association,A New Era of Midnight Mergers: Antitrust Risk and Investor Disclosures,John Manuel Barrios; Thomas Wollmann,barrios,2024,2024-10-29,10.1257/mic.20220064,https://doi.org/10.1257/mic.20220064,https://openalex.org/W4403871810,16,4,77,111,https://doi.org/10.1257/mic.20220064,False,closed,regression discontinuity,abstract,regression discontinuity,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Review,aer,American Economic Association,"Political Turnover, Bureaucratic Turnover, and the Quality of Public Services",Mitra Akhtari; Diana Moreira; Laura Trucco,akhtari,2022,2022-01-28,10.1257/aer.20171867,https://doi.org/10.1257/aer.20171867,https://openalex.org/W3124765710,112,2,442,493,https://doi.org/10.1257/aer.20171867,False,closed,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Review,aer,American Economic Association,Factor Market Failures and the Adoption of Irrigation in Rwanda,Maria Jones; Florence Kondylis; John Loeser; Jeremy Magruder,jones,2022,2022-06-29,10.1257/aer.20210059,https://doi.org/10.1257/aer.20210059,https://openalex.org/W4295883415,112,7,2316,2352,https://doi.org/10.1257/aer.20210059,False,closed,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Review,aer,American Economic Association,Keep Your Enemies Closer: Strategic Platform Adjustments during US and French Elections,Rafael Di Tella; Randy Kotti; Caroline Le Pennec; Vincent Pons,tella,2025,2025-07-31,10.1257/aer.20231045,https://doi.org/10.1257/aer.20231045,https://openalex.org/W4412789367,115,8,2488,2528,https://doi.org/10.1257/aer.20231045,False,closed,RDD,abstract,RDD,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Review Insights,aejinsights,American Economic Association,Can Technology Solve the Principal-Agent Problem? Evidence from China’s War on Air Pollution,Michael Greenstone; Guojun He; Ruixue Jia; Tong Liu,greenstone,2022,2022-02-25,10.1257/aeri.20200373,https://doi.org/10.1257/aeri.20200373,https://openalex.org/W3138555112,4,1,54,70,https://doi.org/10.1257/aeri.20200373,False,closed,regression discontinuity,abstract,regression discontinuity,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Review Insights,aejinsights,American Economic Association,The Impact of Financial Assistance Programs on Health Care Utilization: Evidence from Kaiser Permanente,Alyce S. Adams; Raymond Kluender; Neale Mahoney; Jinglin Wang; Francis Wong; Wesley Yin,adams,2022,2022-08-31,10.1257/aeri.20210515,https://doi.org/10.1257/aeri.20210515,https://openalex.org/W4293761870,4,3,389,407,https://www.ncbi.nlm.nih.gov/pmc/articles/9634821,True,green,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Review Insights,aejinsights,American Economic Association,The Impact of Criminal Financial Sanctions: A Multistate Analysis of Survey and Administrative Data,Keith Finlay; Matthew Gross; Carl Lieberman; Elizabeth Luh; Michael Mueller‐Smith,finlay,2024,2024-11-26,10.1257/aeri.20230413,https://doi.org/10.1257/aeri.20230413,https://openalex.org/W4404712804,6,4,490,508,https://doi.org/10.1257/aeri.20230413,False,closed,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,American Economic Review Insights,aejinsights,American Economic Association,Breadwinner’s Burden: The Effect of Financial Concerns on Sleeplessness,Claire Duquennois; Maulik Jagnani,duquennois,2026,2026-02-25,10.1257/aeri.20240312,https://doi.org/10.1257/aeri.20240312,https://openalex.org/W7131362945,8,1,53,71,https://doi.org/10.1257/aeri.20240312,False,closed,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,Econometrica,econometrica,Wiley,"Multinationals, Monopsony, and Local Development: Evidence From the United Fruit Company",Esteban Méndez; Diana Van Patten,mendez,2022,2022-01-01,10.3982/ecta19514,https://doi.org/10.3982/ecta19514,https://openalex.org/W4313133210,90,6,2685,2721,https://doi.org/10.3982/ecta19514,False,closed,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,Econometrica,econometrica,Wiley,The Effect of Job Loss and Unemployment Insurance on Crime in Brazil,Diogo G. C. Britto; Paolo Pinotti; Breno Sampaio,britto,2022,2022-01-01,10.3982/ecta18984,https://doi.org/10.3982/ecta18984,https://openalex.org/W4286375046,90,4,1393,1423,https://hdl.handle.net/10281/429300,True,green,regression discontinuity,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,Econometrica,econometrica,Wiley,"Connecting to Power: Political Connections, Innovation, and Firm Dynamics",Ufuk Akcigit; Salomé Baslandze; Francesca Lotti,akcigit,2023,2023-01-01,10.3982/ecta18338,https://doi.org/10.3982/ecta18338,https://openalex.org/W4324122907,91,2,529,564,https://doi.org/10.3982/ecta18338,True,bronze,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,Econometrica,econometrica,Wiley,Making Subsidies Work: Rules versus Discretion,Federico Cingano; Filippo Palomba; Paolo Pinotti; Enrico Rettore,cingano,2025,2025-01-01,10.3982/ecta21319,https://doi.org/10.3982/ecta21319,https://openalex.org/W4410940487,93,3,747,778,https://doi.org/10.3982/ecta21319,True,hybrid,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,Journal of Development Economics,jde,Elsevier,The impact of cash transfers on Syrian refugees in Lebanon: Evidence from a multidimensional regression discontinuity design,Nisreen Salti; Jad Chaaban; Wael Moussa; Alexandra Irani; Rima Al Mokdad; Zeina Jamaluddine; Hala Ghattas,salti,2021,2021-12-16,10.1016/j.jdeveco.2021.102803,https://doi.org/10.1016/j.jdeveco.2021.102803,https://openalex.org/W4200394833,155,,102803,102803,https://doi.org/10.1016/j.jdeveco.2021.102803,False,closed,regression discontinuity; regression discontinuity design,title,regression discontinuity; regression discontinuity design,bibliographic; search; title_search,crossref; openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,Journal of Development Economics,jde,Elsevier,"Incentives, penalties, and rural air pollution: Evidence from satellite data",Yongwei Nian,nian,2023,2023-01-14,10.1016/j.jdeveco.2023.103049,https://doi.org/10.1016/j.jdeveco.2023.103049,https://openalex.org/W4316126917,161,,103049,103049,https://doi.org/10.1016/j.jdeveco.2023.103049,True,hybrid,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,Journal of Development Economics,jde,Elsevier,Fighting violence against women: The role of female political representation,Alena Bochenkova; Paolo Buonanno; Sergio Galletta,bochenkova,2023,2023-07-07,10.1016/j.jdeveco.2023.103140,https://doi.org/10.1016/j.jdeveco.2023.103140,https://openalex.org/W4383558743,164,,103140,103140,https://doi.org/10.1016/j.jdeveco.2023.103140,True,hybrid,regression discontinuity; regression discontinuity design,abstract,RDD; regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,Journal of Development Economics,jde,Elsevier,Evaluating the impact of general versus vocational education on labor market outcomes in Egypt by means of a regression discontinuity design,Johanna Kemper; Ursula Renold,kemper,2023,2023-08-20,10.1016/j.jdeveco.2023.103172,https://doi.org/10.1016/j.jdeveco.2023.103172,https://openalex.org/W4386012838,166,,103172,103172,https://doi.org/10.1016/j.jdeveco.2023.103172,True,hybrid,RDD; regression discontinuity; regression discontinuity design,abstract; title,RDD; regression discontinuity; regression discontinuity design,bibliographic; search; title_search,crossref; openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,Journal of Development Economics,jde,Elsevier,The long-term welfare effects of colonial institutions: Evidence from Central India,Marco Colleoni,colleoni,2023,2023-10-12,10.1016/j.jdeveco.2023.103170,https://doi.org/10.1016/j.jdeveco.2023.103170,https://openalex.org/W4387582120,166,,103170,103170,https://doi.org/10.1016/j.jdeveco.2023.103170,True,hybrid,RDD,abstract,RDD,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,Journal of Development Economics,jde,Elsevier,Persistent effects of colonial land tenure institutions: Village-level evidence from India,Vigyan D. Ratnoo,ratnoo,2023,2023-12-23,10.1016/j.jdeveco.2023.103247,https://doi.org/10.1016/j.jdeveco.2023.103247,https://openalex.org/W4390155052,168,,103247,103247,https://doi.org/10.1016/j.jdeveco.2023.103247,True,hybrid,regression discontinuity,abstract,regression discontinuity,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,Journal of Development Economics,jde,Elsevier,Evaluating the labor supply implications of a cash transfer program: Evidence from China,Jie‐Sheng Tan‐Soo; Mingda Cheng; Shuai Chen,tansoo,2025,2025-04-08,10.1016/j.jdeveco.2025.103513,https://doi.org/10.1016/j.jdeveco.2025.103513,https://openalex.org/W4409248538,176,,103513,103513,https://doi.org/10.1016/j.jdeveco.2025.103513,True,hybrid,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,Journal of Development Economics,jde,Elsevier,Do minimum wage hikes lead to employment destruction? Evidence from a regression discontinuity design in Argentina,Nicolás Abbate; Bruno Jiménez,abbate,2025,2025-07-08,10.1016/j.jdeveco.2025.103558,https://doi.org/10.1016/j.jdeveco.2025.103558,https://openalex.org/W4412106133,178,,103558,103558,https://doi.org/10.1016/j.jdeveco.2025.103558,False,closed,regression discontinuity; regression discontinuity design,title,regression discontinuity; regression discontinuity design,bibliographic; search; title_search,crossref; openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
no,,Journal of Development Economics,jde,Elsevier,Foreign interventions and community cohesion in times of conflict,Sarah Langlotz,langlotz,2026,2026-02-19,10.1016/j.jdeveco.2026.103751,https://doi.org/10.1016/j.jdeveco.2026.103751,https://openalex.org/W7130540041,182,,103751,103751,https://doi.org/10.1016/j.jdeveco.2026.103751,True,hybrid,regression discontinuity; regression discontinuity design,abstract,regression discontinuity; regression discontinuity design,search,openalex,download skipped by config,economics,include,kept after title/abstract review as a substantive empirical article using RDD or a close related RD design
